Rank,Score,Plaintext,Keystream_27,UnknownResiduesFill
11,26.59,QDEPKOYOFVANRHIBUOOBEEASTNORTHEASTOSKZSIYKIENXZHVPUHHJWFCYMIOFABERLINCLOCKEFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNASBLZCDC,"r7=A, r8=B, r20=S"
12,26.58,QDEPKOYORVANRHIBUOOBEEASTNORTHEASTOEKZSIYKIENXZHVPUHHJWFCYMIOFMBERLINCLOCKEFSLXURLEXGWKVHFOAGARUH,YYGCKAZAPMUYKLGKORNASBLZCDC,"r7=A, r8=P, r20=S"
13,26.57,QDEPKOYAGVANRHIBUOOBEEASTNORTHEASTATKZSIYKIENXZHVPUHHJWFCYMIORBBERLINCLOCKEFSLXURLEXGWKVTUOAGARUH,YYGCKAZOAMUYKLGKORNASBLZCDC,"r7=O, r8=A, r20=S"
14,26.56,QDEPKOYONVANRHIBUOOBEEASTNORTHEASTOAKZSIYKIENXZHVPUHHJWFCYMIOFIBERLINCLOCKEFSLXURLEXGWKVHBOAGARUH,YYGCKAZATMUYKLGKORNASBLZCDC,"r7=A, r8=T, r20=S"
15,26.56,QDEPKOYAAVANRHIBUOOBEEASTNORTHEASTANKZSIYKIENXZHVPUHHJWFCYMIORVBERLINCLOCKEFSLXURLEXGWKVTOOAGARUH,YYGCKAZOGMUYKLGKORNASBLZCDC,"r7=O, r8=G, r20=S"
16,26.49,QDEPKOYOFVANRHIBUOOBBEASTNORTHEASTOSKZSIYKIENXZEVPUHHJWFCYMIOFABERLINCLOCKBFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNAVBLZCDC,"r7=A, r8=B, r20=V"
17,26.48,QDEPKOYORVANRHIBUOOBBEASTNORTHEASTOEKZSIYKIENXZEVPUHHJWFCYMIOFMBERLINCLOCKBFSLXURLEXGWKVHFOAGARUH,YYGCKAZAPMUYKLGKORNAVBLZCDC,"r7=A, r8=P, r20=V"
18,26.47,QDEPKOYOFVANRHIBUOOBYEASTNORTHEASTOSKZSIYKIENXZBVPUHHJWFCYMIOFABERLINCLOCKYFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNAYBLZCDC,"r7=A, r8=B, r20=Y"
19,26.47,QDEPKOYORVANRHIBUOOBYEASTNORTHEASTOEKZSIYKIENXZBVPUHHJWFCYMIOFMBERLINCLOCKYFSLXURLEXGWKVHFOAGARUH,YYGCKAZAPMUYKLGKORNAYBLZCDC,"r7=A, r8=P, r20=Y"
20,26.45,QDEPKOYAAVANRHIBUOOBBEASTNORTHEASTANKZSIYKIENXZEVPUHHJWFCYMIORVBERLINCLOCKBFSLXURLEXGWKVTOOAGARUH,YYGCKAZOGMUYKLGKORNAVBLZCDC,"r7=O, r8=G, r20=V"
21,26.44,QDEPKOYAAVANRHIBUOOBYEASTNORTHEASTANKZSIYKIENXZBVPUHHJWFCYMIORVBERLINCLOCKYFSLXURLEXGWKVTOOAGARUH,YYGCKAZOGMUYKLGKORNAYBLZCDC,"r7=O, r8=G, r20=Y"
22,26.43,QDEPKOYAGVANRHIBUOOBYEASTNORTHEASTATKZSIYKIENXZBVPUHHJWFCYMIORBBERLINCLOCKYFSLXURLEXGWKVTUOAGARUH,YYGCKAZOAMUYKLGKORNAYBLZCDC,"r7=O, r8=A, r20=Y"
23,26.43,QDEPKOYAGVANRHIBUOOBBEASTNORTHEASTATKZSIYKIENXZEVPUHHJWFCYMIORBBERLINCLOCKBFSLXURLEXGWKVTUOAGARUH,YYGCKAZOAMUYKLGKORNAVBLZCDC,"r7=O, r8=A, r20=V"
24,26.43,QDEPKOYONVANRHIBUOOBYEASTNORTHEASTOAKZSIYKIENXZBVPUHHJWFCYMIOFIBERLINCLOCKYFSLXURLEXGWKVHBOAGARUH,YYGCKAZATMUYKLGKORNAYBLZCDC,"r7=A, r8=T, r20=Y"
25,26.42,QDEPKOYONVANRHIBUOOBBEASTNORTHEASTOAKZSIYKIENXZEVPUHHJWFCYMIOFIBERLINCLOCKBFSLXURLEXGWKVHBOAGARUH,YYGCKAZATMUYKLGKORNAVBLZCDC,"r7=A, r8=T, r20=V"
26,26.35,QDEPKOYWXVANRHIBUOOBTEASTNORTHEASTWKKZSIYKIENXZWVPUHHJWFCYMIONSBERLINCLOCKTFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNADBLZCDC,"r7=S, r8=J, r20=D"
27,26.34,QDEPKOYWXVANRHIBUOOBREASTNORTHEASTWKKZSIYKIENXZUVPUHHJWFCYMIONSBERLINCLOCKRFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAFBLZCDC,"r7=S, r8=J, r20=F"
28,26.24,QDEPKOYOQVANRHIBUOOBEEASTNORTHEASTODKZSIYKIENXZHVPUHHJWFCYMIOFLBERLINCLOCKEFSLXURLEXGWKVHEOAGARUH,YYGCKAZAQMUYKLGKORNASBLZCDC,"r7=A, r8=Q, r20=S"
29,26.24,QDEPKOYWXVANRHIBUOOBHEASTNORTHEASTWKKZSIYKIENXZKVPUHHJWFCYMIONSBERLINCLOCKHFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAPBLZCDC,"r7=S, r8=J, r20=P"
30,26.17,QDEPKOYOQVANRHIBUOOBBEASTNORTHEASTODKZSIYKIENXZEVPUHHJWFCYMIOFLBERLINCLOCKBFSLXURLEXGWKVHEOAGARUH,YYGCKAZAQMUYKLGKORNAVBLZCDC,"r7=A, r8=Q, r20=V"
31,26.16,QDEPKOYOQVANRHIBUOOBYEASTNORTHEASTODKZSIYKIENXZBVPUHHJWFCYMIOFLBERLINCLOCKYFSLXURLEXGWKVHEOAGARUH,YYGCKAZAQMUYKLGKORNAYBLZCDC,"r7=A, r8=Q, r20=Y"
32,26.07,QDEPKOYOYVANRHIBUOOBEEASTNORTHEASTOLKZSIYKIENXZHVPUHHJWFCYMIOFTBERLINCLOCKEFSLXURLEXGWKVHMOAGARUH,YYGCKAZAIMUYKLGKORNASBLZCDC,"r7=A, r8=I, r20=S"
33,26.07,QDEPKOYOTVANRHIBUOOBEEASTNORTHEASTOGKZSIYKIENXZHVPUHHJWFCYMIOFOBERLINCLOCKEFSLXURLEXGWKVHHOAGARUH,YYGCKAZANMUYKLGKORNASBLZCDC,"r7=A, r8=N, r20=S"
34,26.04,QDEPKOYOUVANRHIBUOOBEEASTNORTHEASTOHKZSIYKIENXZHVPUHHJWFCYMIOFPBERLINCLOCKEFSLXURLEXGWKVHIOAGARUH,YYGCKAZAMMUYKLGKORNASBLZCDC,"r7=A, r8=M, r20=S"
35,26.03,QDEPKOYOGVANRHIBUOOBEEASTNORTHEASTOTKZSIYKIENXZHVPUHHJWFCYMIOFBBERLINCLOCKEFSLXURLEXGWKVHUOAGARUH,YYGCKAZAAMUYKLGKORNASBLZCDC,"r7=A, r8=A, r20=S"
36,26.02,QDEPKOYOIVANRHIBUOOBEEASTNORTHEASTOVKZSIYKIENXZHVPUHHJWFCYMIOFDBERLINCLOCKEFSLXURLEXGWKVHWOAGARUH,YYGCKAZAYMUYKLGKORNASBLZCDC,"r7=A, r8=Y, r20=S"
37,26.02,QDEPKOYOBVANRHIBUOOBEEASTNORTHEASTOOKZSIYKIENXZHVPUHHJWFCYMIOFWBERLINCLOCKEFSLXURLEXGWKVHPOAGARUH,YYGCKAZAFMUYKLGKORNASBLZCDC,"r7=A, r8=F, r20=S"
38,25.97,QDEPKOYOYVANRHIBUOOBBEASTNORTHEASTOLKZSIYKIENXZEVPUHHJWFCYMIOFTBERLINCLOCKBFSLXURLEXGWKVHMOAGARUH,YYGCKAZAIMUYKLGKORNAVBLZCDC,"r7=A, r8=I, r20=V"
39,25.97,QDEPKOYOHVANRHIBUOOBEEASTNORTHEASTOUKZSIYKIENXZHVPUHHJWFCYMIOFCBERLINCLOCKEFSLXURLEXGWKVHVOAGARUH,YYGCKAZAZMUYKLGKORNASBLZCDC,"r7=A, r8=Z, r20=S"
40,25.97,QDEPKOYOTVANRHIBUOOBBEASTNORTHEASTOGKZSIYKIENXZEVPUHHJWFCYMIOFOBERLINCLOCKBFSLXURLEXGWKVHHOAGARUH,YYGCKAZANMUYKLGKORNAVBLZCDC,"r7=A, r8=N, r20=V"
41,25.96,QDEPKOYOTVANRHIBUOOBYEASTNORTHEASTOGKZSIYKIENXZBVPUHHJWFCYMIOFOBERLINCLOCKYFSLXURLEXGWKVHHOAGARUH,YYGCKAZANMUYKLGKORNAYBLZCDC,"r7=A, r8=N, r20=Y"
42,25.95,QDEPKOYOUVANRHIBUOOBBEASTNORTHEASTOHKZSIYKIENXZEVPUHHJWFCYMIOFPBERLINCLOCKBFSLXURLEXGWKVHIOAGARUH,YYGCKAZAMMUYKLGKORNAVBLZCDC,"r7=A, r8=M, r20=V"
43,25.94,QDEPKOYOUVANRHIBUOOBYEASTNORTHEASTOHKZSIYKIENXZBVPUHHJWFCYMIOFPBERLINCLOCKYFSLXURLEXGWKVHIOAGARUH,YYGCKAZAMMUYKLGKORNAYBLZCDC,"r7=A, r8=M, r20=Y"
44,25.93,QDEPKOYOYVANRHIBUOOBYEASTNORTHEASTOLKZSIYKIENXZBVPUHHJWFCYMIOFTBERLINCLOCKYFSLXURLEXGWKVHMOAGARUH,YYGCKAZAIMUYKLGKORNAYBLZCDC,"r7=A, r8=I, r20=Y"
45,25.93,QDEPKOYOIVANRHIBUOOBBEASTNORTHEASTOVKZSIYKIENXZEVPUHHJWFCYMIOFDBERLINCLOCKBFSLXURLEXGWKVHWOAGARUH,YYGCKAZAYMUYKLGKORNAVBLZCDC,"r7=A, r8=Y, r20=V"
46,25.92,QDEPKOYATVANRHIBUOOBEEASTNORTHEASTAGKZSIYKIENXZHVPUHHJWFCYMIOROBERLINCLOCKEFSLXURLEXGWKVTHOAGARUH,YYGCKAZONMUYKLGKORNASBLZCDC,"r7=O, r8=N, r20=S"
47,25.91,QDEPKOYOPVANRHIBUOOBEEASTNORTHEASTOCKZSIYKIENXZHVPUHHJWFCYMIOFKBERLINCLOCKEFSLXURLEXGWKVHDOAGARUH,YYGCKAZARMUYKLGKORNASBLZCDC,"r7=A, r8=R, r20=S"
48,25.91,QDEPKOYOIVANRHIBUOOBYEASTNORTHEASTOVKZSIYKIENXZBVPUHHJWFCYMIOFDBERLINCLOCKYFSLXURLEXGWKVHWOAGARUH,YYGCKAZAYMUYKLGKORNAYBLZCDC,"r7=A, r8=Y, r20=Y"
49,25.9,QDEPKOYOGVANRHIBUOOBYEASTNORTHEASTOTKZSIYKIENXZBVPUHHJWFCYMIOFBBERLINCLOCKYFSLXURLEXGWKVHUOAGARUH,YYGCKAZAAMUYKLGKORNAYBLZCDC,"r7=A, r8=A, r20=Y"
50,25.89,QDEPKOYOGVANRHIBUOOBBEASTNORTHEASTOTKZSIYKIENXZEVPUHHJWFCYMIOFBBERLINCLOCKBFSLXURLEXGWKVHUOAGARUH,YYGCKAZAAMUYKLGKORNAVBLZCDC,"r7=A, r8=A, r20=V"
51,25.89,QDEPKOYOBVANRHIBUOOBYEASTNORTHEASTOOKZSIYKIENXZBVPUHHJWFCYMIOFWBERLINCLOCKYFSLXURLEXGWKVHPOAGARUH,YYGCKAZAFMUYKLGKORNAYBLZCDC,"r7=A, r8=F, r20=Y"
52,25.89,QDEPKOYOBVANRHIBUOOBBEASTNORTHEASTOOKZSIYKIENXZEVPUHHJWFCYMIOFWBERLINCLOCKBFSLXURLEXGWKVHPOAGARUH,YYGCKAZAFMUYKLGKORNAVBLZCDC,"r7=A, r8=F, r20=V"
53,25.88,QDEPKOYOHVANRHIBUOOBBEASTNORTHEASTOUKZSIYKIENXZEVPUHHJWFCYMIOFCBERLINCLOCKBFSLXURLEXGWKVHVOAGARUH,YYGCKAZAZMUYKLGKORNAVBLZCDC,"r7=A, r8=Z, r20=V"
54,25.87,QDEPKOYOEVANRHIBUOOBEEASTNORTHEASTORKZSIYKIENXZHVPUHHJWFCYMIOFZBERLINCLOCKEFSLXURLEXGWKVHSOAGARUH,YYGCKAZACMUYKLGKORNASBLZCDC,"r7=A, r8=C, r20=S"
55,25.87,QDEPKOYOSVANRHIBUOOBTEASTNORTHEASTOFKZSIYKIENXZWVPUHHJWFCYMIOFNBERLINCLOCKTFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNADBLZCDC,"r7=A, r8=O, r20=D"
56,25.87,QDEPKOYOHVANRHIBUOOBYEASTNORTHEASTOUKZSIYKIENXZBVPUHHJWFCYMIOFCBERLINCLOCKYFSLXURLEXGWKVHVOAGARUH,YYGCKAZAZMUYKLGKORNAYBLZCDC,"r7=A, r8=Z, r20=Y"
57,25.87,QDEPKOYWXVANRHIBUOOBAEASTNORTHEASTWKKZSIYKIENXZDVPUHHJWFCYMIONSBERLINCLOCKAFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAWBLZCDC,"r7=S, r8=J, r20=W"
58,25.86,QDEPKOYWXVANRHIBUOOBDEASTNORTHEASTWKKZSIYKIENXZGVPUHHJWFCYMIONSBERLINCLOCKDFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNATBLZCDC,"r7=S, r8=J, r20=T"
59,25.85,QDEPKOYWXVANRHIBUOOBIEASTNORTHEASTWKKZSIYKIENXZLVPUHHJWFCYMIONSBERLINCLOCKIFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAOBLZCDC,"r7=S, r8=J, r20=O"
60,25.84,QDEPKOYWXVANRHIBUOOBMEASTNORTHEASTWKKZSIYKIENXZPVPUHHJWFCYMIONSBERLINCLOCKMFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAKBLZCDC,"r7=S, r8=J, r20=K"
61,25.84,QDEPKOYWXVANRHIBUOOBFEASTNORTHEASTWKKZSIYKIENXZIVPUHHJWFCYMIONSBERLINCLOCKFFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNARBLZCDC,"r7=S, r8=J, r20=R"
62,25.83,QDEPKOYAGVANRHIBUOOBOEASTNORTHEASTATKZSIYKIENXZRVPUHHJWFCYMIORBBERLINCLOCKOFSLXURLEXGWKVTUOAGARUH,YYGCKAZOAMUYKLGKORNAIBLZCDC,"r7=O, r8=A, r20=I"
63,25.83,QDEPKOYWXVANRHIBUOOBCEASTNORTHEASTWKKZSIYKIENXZFVPUHHJWFCYMIONSBERLINCLOCKCFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAUBLZCDC,"r7=S, r8=J, r20=U"
64,25.83,QDEPKOYWXVANRHIBUOOBLEASTNORTHEASTWKKZSIYKIENXZOVPUHHJWFCYMIONSBERLINCLOCKLFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNALBLZCDC,"r7=S, r8=J, r20=L"
65,25.83,QDEPKOYOPVANRHIBUOOBBEASTNORTHEASTOCKZSIYKIENXZEVPUHHJWFCYMIOFKBERLINCLOCKBFSLXURLEXGWKVHDOAGARUH,YYGCKAZARMUYKLGKORNAVBLZCDC,"r7=A, r8=R, r20=V"
66,25.82,QDEPKOYOSVANRHIBUOOBOEASTNORTHEASTOFKZSIYKIENXZRVPUHHJWFCYMIOFNBERLINCLOCKOFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNAIBLZCDC,"r7=A, r8=O, r20=I"
67,25.82,QDEPKOYOEVANRHIBUOOBBEASTNORTHEASTORKZSIYKIENXZEVPUHHJWFCYMIOFZBERLINCLOCKBFSLXURLEXGWKVHSOAGARUH,YYGCKAZACMUYKLGKORNAVBLZCDC,"r7=A, r8=C, r20=V"
68,25.82,QDEPKOYOSVANRHIBUOOBREASTNORTHEASTOFKZSIYKIENXZUVPUHHJWFCYMIOFNBERLINCLOCKRFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNAFBLZCDC,"r7=A, r8=O, r20=F"
69,25.82,QDEPKOYOEVANRHIBUOOBYEASTNORTHEASTORKZSIYKIENXZBVPUHHJWFCYMIOFZBERLINCLOCKYFSLXURLEXGWKVHSOAGARUH,YYGCKAZACMUYKLGKORNAYBLZCDC,"r7=A, r8=C, r20=Y"
70,25.82,QDEPKOYOAVANRHIBUOOBTEASTNORTHEASTONKZSIYKIENXZWVPUHHJWFCYMIOFVBERLINCLOCKTFSLXURLEXGWKVHOOAGARUH,YYGCKAZAGMUYKLGKORNADBLZCDC,"r7=A, r8=G, r20=D"
71,25.82,QDEPKOYATVANRHIBUOOBBEASTNORTHEASTAGKZSIYKIENXZEVPUHHJWFCYMIOROBERLINCLOCKBFSLXURLEXGWKVTHOAGARUH,YYGCKAZONMUYKLGKORNAVBLZCDC,"r7=O, r8=N, r20=V"
72,25.82,QDEPKOYWXVANRHIBUOOBPEASTNORTHEASTWKKZSIYKIENXZSVPUHHJWFCYMIONSBERLINCLOCKPFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAHBLZCDC,"r7=S, r8=J, r20=H"
73,25.81,QDEPKOYAAVANRHIBUOOBOEASTNORTHEASTANKZSIYKIENXZRVPUHHJWFCYMIORVBERLINCLOCKOFSLXURLEXGWKVTOOAGARUH,YYGCKAZOGMUYKLGKORNAIBLZCDC,"r7=O, r8=G, r20=I"
74,25.81,QDEPKOYOPVANRHIBUOOBYEASTNORTHEASTOCKZSIYKIENXZBVPUHHJWFCYMIOFKBERLINCLOCKYFSLXURLEXGWKVHDOAGARUH,YYGCKAZARMUYKLGKORNAYBLZCDC,"r7=A, r8=R, r20=Y"
75,25.81,QDEPKOYWXVANRHIBUOOBSEASTNORTHEASTWKKZSIYKIENXZVVPUHHJWFCYMIONSBERLINCLOCKSFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAEBLZCDC,"r7=S, r8=J, r20=E"
76,25.8,QDEPKOYATVANRHIBUOOBYEASTNORTHEASTAGKZSIYKIENXZBVPUHHJWFCYMIOROBERLINCLOCKYFSLXURLEXGWKVTHOAGARUH,YYGCKAZONMUYKLGKORNAYBLZCDC,"r7=O, r8=N, r20=Y"
77,25.79,QDEPKOYOOVANRHIBUOOBEEASTNORTHEASTOBKZSIYKIENXZHVPUHHJWFCYMIOFJBERLINCLOCKEFSLXURLEXGWKVHCOAGARUH,YYGCKAZASMUYKLGKORNASBLZCDC,"r7=A, r8=S, r20=S"
78,25.77,QDEPKOYOAVANRHIBUOOBREASTNORTHEASTONKZSIYKIENXZUVPUHHJWFCYMIOFVBERLINCLOCKRFSLXURLEXGWKVHOOAGARUH,YYGCKAZAGMUYKLGKORNAFBLZCDC,"r7=A, r8=G, r20=F"
79,25.77,QDEPKOYOAVANRHIBUOOBOEASTNORTHEASTONKZSIYKIENXZRVPUHHJWFCYMIOFVBERLINCLOCKOFSLXURLEXGWKVHOOAGARUH,YYGCKAZAGMUYKLGKORNAIBLZCDC,"r7=A, r8=G, r20=I"
80,25.75,QDEPKOYWXVANRHIBUOOBVEASTNORTHEASTWKKZSIYKIENXZYVPUHHJWFCYMIONSBERLINCLOCKVFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNABBLZCDC,"r7=S, r8=J, r20=B"
81,25.72,QDEPKOYODVANRHIBUOOBEEASTNORTHEASTOQKZSIYKIENXZHVPUHHJWFCYMIOFYBERLINCLOCKEFSLXURLEXGWKVHROAGARUH,YYGCKAZADMUYKLGKORNASBLZCDC,"r7=A, r8=D, r20=S"
82,25.71,QDEPKOYOWVANRHIBUOOBEEASTNORTHEASTOJKZSIYKIENXZHVPUHHJWFCYMIOFRBERLINCLOCKEFSLXURLEXGWKVHKOAGARUH,YYGCKAZAKMUYKLGKORNASBLZCDC,"r7=A, r8=K, r20=S"
83,25.7,QDEPKOYWXVANRHIBUOOBGEASTNORTHEASTWKKZSIYKIENXZJVPUHHJWFCYMIONSBERLINCLOCKGFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAQBLZCDC,"r7=S, r8=J, r20=Q"
84,25.69,QDEPKOYOOVANRHIBUOOBYEASTNORTHEASTOBKZSIYKIENXZBVPUHHJWFCYMIOFJBERLINCLOCKYFSLXURLEXGWKVHCOAGARUH,YYGCKAZASMUYKLGKORNAYBLZCDC,"r7=A, r8=S, r20=Y"
85,25.69,QDEPKOYOOVANRHIBUOOBBEASTNORTHEASTOBKZSIYKIENXZEVPUHHJWFCYMIOFJBERLINCLOCKBFSLXURLEXGWKVHCOAGARUH,YYGCKAZASMUYKLGKORNAVBLZCDC,"r7=A, r8=S, r20=V"
86,25.68,QDEPKOYOSVANRHIBUOOBHEASTNORTHEASTOFKZSIYKIENXZKVPUHHJWFCYMIOFNBERLINCLOCKHFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNAPBLZCDC,"r7=A, r8=O, r20=P"
87,25.65,QDEPKOYWXVANRHIBUOOBNEASTNORTHEASTWKKZSIYKIENXZQVPUHHJWFCYMIONSBERLINCLOCKNFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAJBLZCDC,"r7=S, r8=J, r20=J"
88,25.65,QDEPKOYODVANRHIBUOOBBEASTNORTHEASTOQKZSIYKIENXZEVPUHHJWFCYMIOFYBERLINCLOCKBFSLXURLEXGWKVHROAGARUH,YYGCKAZADMUYKLGKORNAVBLZCDC,"r7=A, r8=D, r20=V"
89,25.64,QDEPKOYWXVANRHIBUOOBKEASTNORTHEASTWKKZSIYKIENXZNVPUHHJWFCYMIONSBERLINCLOCKKFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAMBLZCDC,"r7=S, r8=J, r20=M"
90,25.63,QDEPKOYOWVANRHIBUOOBBEASTNORTHEASTOJKZSIYKIENXZEVPUHHJWFCYMIOFRBERLINCLOCKBFSLXURLEXGWKVHKOAGARUH,YYGCKAZAKMUYKLGKORNAVBLZCDC,"r7=A, r8=K, r20=V"
91,25.63,QDEPKOYOAVANRHIBUOOBHEASTNORTHEASTONKZSIYKIENXZKVPUHHJWFCYMIOFVBERLINCLOCKHFSLXURLEXGWKVHOOAGARUH,YYGCKAZAGMUYKLGKORNAPBLZCDC,"r7=A, r8=G, r20=P"
92,25.62,QDEPKOYOWVANRHIBUOOBYEASTNORTHEASTOJKZSIYKIENXZBVPUHHJWFCYMIOFRBERLINCLOCKYFSLXURLEXGWKVHKOAGARUH,YYGCKAZAKMUYKLGKORNAYBLZCDC,"r7=A, r8=K, r20=Y"
93,25.62,QDEPKOYODVANRHIBUOOBYEASTNORTHEASTOQKZSIYKIENXZBVPUHHJWFCYMIOFYBERLINCLOCKYFSLXURLEXGWKVHROAGARUH,YYGCKAZADMUYKLGKORNAYBLZCDC,"r7=A, r8=D, r20=Y"
94,25.53,QDEPKOYWXVANRHIBUOOBJEASTNORTHEASTWKKZSIYKIENXZMVPUHHJWFCYMIONSBERLINCLOCKJFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNANBLZCDC,"r7=S, r8=J, r20=N"
95,25.51,QDEPKOYOVVANRHIBUOOBEEASTNORTHEASTOIKZSIYKIENXZHVPUHHJWFCYMIOFQBERLINCLOCKEFSLXURLEXGWKVHJOAGARUH,YYGCKAZALMUYKLGKORNASBLZCDC,"r7=A, r8=L, r20=S"
96,25.47,QDEPKOYWXVANRHIBUOOBUEASTNORTHEASTWKKZSIYKIENXZXVPUHHJWFCYMIONSBERLINCLOCKUFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNACBLZCDC,"r7=S, r8=J, r20=C"
97,25.47,QDEPKOYOXVANRHIBUOOBEEASTNORTHEASTOKKZSIYKIENXZHVPUHHJWFCYMIOFSBERLINCLOCKEFSLXURLEXGWKVHLOAGARUH,YYGCKAZAJMUYKLGKORNASBLZCDC,"r7=A, r8=J, r20=S"
98,25.45,QDEPKOYOVVANRHIBUOOBBEASTNORTHEASTOIKZSIYKIENXZEVPUHHJWFCYMIOFQBERLINCLOCKBFSLXURLEXGWKVHJOAGARUH,YYGCKAZALMUYKLGKORNAVBLZCDC,"r7=A, r8=L, r20=V"
99,25.44,QDEPKOYOVVANRHIBUOOBYEASTNORTHEASTOIKZSIYKIENXZBVPUHHJWFCYMIOFQBERLINCLOCKYFSLXURLEXGWKVHJOAGARUH,YYGCKAZALMUYKLGKORNAYBLZCDC,"r7=A, r8=L, r20=Y"
100,25.44,QDEPKOYOKVANRHIBUOOBEEASTNORTHEASTOXKZSIYKIENXZHVPUHHJWFCYMIOFFBERLINCLOCKEFSLXURLEXGWKVHYOAGARUH,YYGCKAZAWMUYKLGKORNASBLZCDC,"r7=A, r8=W, r20=S"
